Country,Original_id,Authors,Voting,Date,baseline_pred,mod_pred
CHINA,2136,['United States'],Y,2016-12-16,N,Y
FRANCE,2136,['United States'],Y,2016-12-16,Y,Y
NEW ZEALAND,2136,['United States'],Y,2016-12-16,A,Y
RUSSIAN FEDERATION,2136,['United States'],Y,2016-12-16,N,Y
SPAIN,2136,['United States'],Y,2016-12-16,Y,Y
UNITED KINGDOM,2136,['United States'],Y,2016-12-16,Y,Y
UNITED STATES,2136,['United States'],Y,2016-12-16,A,Y
EGYPT,2136,['United States'],Y,2016-12-16,A,Y
JAPAN,2136,['United States'],Y,2016-12-16,Y,Y
MALAYSIA,2136,['United States'],Y,2016-12-16,Y,Y
UKRAINE,2136,['United States'],Y,2016-12-16,A,Y
ANGOLA,2136,['United States'],Y,2016-12-16,Y,Y
VENEZUELA (BOLIVARIAN REPUBLIC OF),2136,['United States'],Y,2016-12-16,N,Y
SENEGAL,2136,['United States'],Y,2016-12-16,Y,Y
URUGUAY,2136,['United States'],Y,2016-12-16,A,Y
CHINA,2157,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States']",Y,2017-03-31,N,Y
FRANCE,2157,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States']",Y,2017-03-31,Y,Y
RUSSIAN FEDERATION,2157,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States']",Y,2017-03-31,N,Y
UNITED KINGDOM,2157,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States']",Y,2017-03-31,Y,Y
UNITED STATES,2157,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States']",Y,2017-03-31,Y,Y
ITALY,2157,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States']",Y,2017-03-31,Y,Y
EGYPT,2157,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States']",Y,2017-03-31,Y,Y
JAPAN,2157,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States']",Y,2017-03-31,Y,Y
SWEDEN,2157,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States']",Y,2017-03-31,Y,Y
UKRAINE,2157,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States']",Y,2017-03-31,Y,Y
SENEGAL,2157,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States']",Y,2017-03-31,Y,Y
URUGUAY,2157,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States']",Y,2017-03-31,Y,Y
BOLIVIA (PLURINATIONAL STATE OF),2157,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States']",Y,2017-03-31,Y,Y
ETHIOPIA,2157,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States']",Y,2017-03-31,Y,Y
KAZAKHSTAN,2157,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States']",Y,2017-03-31,Y,Y
CHINA,2160,['United States'],Y,2017-04-28,N,Y
FRANCE,2160,['United States'],Y,2017-04-28,Y,Y
RUSSIAN FEDERATION,2160,['United States'],Y,2017-04-28,N,Y
UNITED KINGDOM,2160,['United States'],Y,2017-04-28,Y,Y
UNITED STATES,2160,['United States'],Y,2017-04-28,A,Y
ITALY,2160,['United States'],Y,2017-04-28,Y,Y
EGYPT,2160,['United States'],Y,2017-04-28,Y,Y
JAPAN,2160,['United States'],Y,2017-04-28,Y,Y
SWEDEN,2160,['United States'],Y,2017-04-28,Y,Y
UKRAINE,2160,['United States'],Y,2017-04-28,A,Y
SENEGAL,2160,['United States'],Y,2017-04-28,Y,Y
URUGUAY,2160,['United States'],Y,2017-04-28,Y,Y
BOLIVIA (PLURINATIONAL STATE OF),2160,['United States'],Y,2017-04-28,Y,Y
ETHIOPIA,2160,['United States'],Y,2017-04-28,A,Y
KAZAKHSTAN,2160,['United States'],Y,2017-04-28,Y,Y
CHINA,2166,['United Kingdom'],Y,2017-06-12,N,Y
FRANCE,2166,['United Kingdom'],Y,2017-06-12,Y,Y
RUSSIAN FEDERATION,2166,['United Kingdom'],Y,2017-06-12,N,Y
UNITED KINGDOM,2166,['United Kingdom'],Y,2017-06-12,Y,Y
UNITED STATES,2166,['United Kingdom'],Y,2017-06-12,Y,Y
ITALY,2166,['United Kingdom'],Y,2017-06-12,Y,Y
EGYPT,2166,['United Kingdom'],Y,2017-06-12,Y,Y
JAPAN,2166,['United Kingdom'],Y,2017-06-12,Y,Y
SWEDEN,2166,['United Kingdom'],Y,2017-06-12,Y,Y
UKRAINE,2166,['United Kingdom'],Y,2017-06-12,Y,Y
SENEGAL,2166,['United Kingdom'],Y,2017-06-12,Y,Y
URUGUAY,2166,['United Kingdom'],Y,2017-06-12,Y,Y
BOLIVIA (PLURINATIONAL STATE OF),2166,['United Kingdom'],Y,2017-06-12,Y,Y
ETHIOPIA,2166,['United Kingdom'],Y,2017-06-12,Y,Y
KAZAKHSTAN,2166,['United Kingdom'],Y,2017-06-12,Y,Y
CHINA,2183,['France'],Y,2017-09-05,A,Y
FRANCE,2183,['France'],Y,2017-09-05,Y,Y
RUSSIAN FEDERATION,2183,['France'],Y,2017-09-05,N,Y
UNITED KINGDOM,2183,['France'],Y,2017-09-05,Y,Y
UNITED STATES,2183,['France'],Y,2017-09-05,Y,Y
ITALY,2183,['France'],Y,2017-09-05,Y,Y
EGYPT,2183,['France'],Y,2017-09-05,Y,Y
JAPAN,2183,['France'],Y,2017-09-05,Y,Y
SWEDEN,2183,['France'],Y,2017-09-05,Y,Y
UKRAINE,2183,['France'],Y,2017-09-05,A,Y
SENEGAL,2183,['France'],Y,2017-09-05,Y,Y
URUGUAY,2183,['France'],Y,2017-09-05,Y,Y
BOLIVIA (PLURINATIONAL STATE OF),2183,['France'],Y,2017-09-05,A,Y
ETHIOPIA,2183,['France'],Y,2017-09-05,Y,Y
KAZAKHSTAN,2183,['France'],Y,2017-09-05,Y,Y
CHINA,2199,"['Egypt', 'Ethiopia', 'Senegal']",Y,2017-12-08,N,Y
FRANCE,2199,"['Egypt', 'Ethiopia', 'Senegal']",Y,2017-12-08,Y,Y
RUSSIAN FEDERATION,2199,"['Egypt', 'Ethiopia', 'Senegal']",Y,2017-12-08,N,Y
UNITED KINGDOM,2199,"['Egypt', 'Ethiopia', 'Senegal']",Y,2017-12-08,Y,Y
UNITED STATES,2199,"['Egypt', 'Ethiopia', 'Senegal']",Y,2017-12-08,A,Y
ITALY,2199,"['Egypt', 'Ethiopia', 'Senegal']",Y,2017-12-08,Y,Y
EGYPT,2199,"['Egypt', 'Ethiopia', 'Senegal']",Y,2017-12-08,A,Y
JAPAN,2199,"['Egypt', 'Ethiopia', 'Senegal']",Y,2017-12-08,Y,Y
SWEDEN,2199,"['Egypt', 'Ethiopia', 'Senegal']",Y,2017-12-08,Y,Y
UKRAINE,2199,"['Egypt', 'Ethiopia', 'Senegal']",Y,2017-12-08,A,Y
SENEGAL,2199,"['Egypt', 'Ethiopia', 'Senegal']",Y,2017-12-08,Y,Y
URUGUAY,2199,"['Egypt', 'Ethiopia', 'Senegal']",Y,2017-12-08,Y,Y
BOLIVIA (PLURINATIONAL STATE OF),2199,"['Egypt', 'Ethiopia', 'Senegal']",Y,2017-12-08,A,Y
ETHIOPIA,2199,"['Egypt', 'Ethiopia', 'Senegal']",Y,2017-12-08,A,Y
KAZAKHSTAN,2199,"['Egypt', 'Ethiopia', 'Senegal']",Y,2017-12-08,A,Y
CHINA,2201,"['Egypt', 'Japan', 'Sweden']",A,2017-12-19,N,Y
FRANCE,2201,"['Egypt', 'Japan', 'Sweden']",Y,2017-12-19,Y,Y
RUSSIAN FEDERATION,2201,"['Egypt', 'Japan', 'Sweden']",A,2017-12-19,N,Y
UNITED KINGDOM,2201,"['Egypt', 'Japan', 'Sweden']",Y,2017-12-19,Y,Y
UNITED STATES,2201,"['Egypt', 'Japan', 'Sweden']",Y,2017-12-19,Y,Y
ITALY,2201,"['Egypt', 'Japan', 'Sweden']",Y,2017-12-19,Y,Y
EGYPT,2201,"['Egypt', 'Japan', 'Sweden']",Y,2017-12-19,A,Y
JAPAN,2201,"['Egypt', 'Japan', 'Sweden']",Y,2017-12-19,Y,Y
SWEDEN,2201,"['Egypt', 'Japan', 'Sweden']",Y,2017-12-19,Y,Y
UKRAINE,2201,"['Egypt', 'Japan', 'Sweden']",Y,2017-12-19,A,Y
SENEGAL,2201,"['Egypt', 'Japan', 'Sweden']",Y,2017-12-19,Y,Y
URUGUAY,2201,"['Egypt', 'Japan', 'Sweden']",Y,2017-12-19,Y,Y
BOLIVIA (PLURINATIONAL STATE OF),2201,"['Egypt', 'Japan', 'Sweden']",A,2017-12-19,A,Y
ETHIOPIA,2201,"['Egypt', 'Japan', 'Sweden']",Y,2017-12-19,A,Y
KAZAKHSTAN,2201,"['Egypt', 'Japan', 'Sweden']",Y,2017-12-19,A,Y
CHINA,2202,"['Russian Federation', 'United States']",Y,2017-12-21,N,Y
FRANCE,2202,"['Russian Federation', 'United States']",Y,2017-12-21,Y,Y
RUSSIAN FEDERATION,2202,"['Russian Federation', 'United States']",Y,2017-12-21,N,Y
UNITED KINGDOM,2202,"['Russian Federation', 'United States']",Y,2017-12-21,Y,Y
UNITED STATES,2202,"['Russian Federation', 'United States']",Y,2017-12-21,A,Y
ITALY,2202,"['Russian Federation', 'United States']",Y,2017-12-21,Y,Y
EGYPT,2202,"['Russian Federation', 'United States']",Y,2017-12-21,A,Y
JAPAN,2202,"['Russian Federation', 'United States']",Y,2017-12-21,Y,Y
SWEDEN,2202,"['Russian Federation', 'United States']",Y,2017-12-21,Y,Y
UKRAINE,2202,"['Russian Federation', 'United States']",Y,2017-12-21,A,Y
SENEGAL,2202,"['Russian Federation', 'United States']",Y,2017-12-21,A,Y
URUGUAY,2202,"['Russian Federation', 'United States']",Y,2017-12-21,A,Y
BOLIVIA (PLURINATIONAL STATE OF),2202,"['Russian Federation', 'United States']",Y,2017-12-21,A,Y
ETHIOPIA,2202,"['Russian Federation', 'United States']",Y,2017-12-21,A,Y
KAZAKHSTAN,2202,"['Russian Federation', 'United States']",Y,2017-12-21,A,Y
CHINA,2204,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States', 'Uruguay']",Y,2017-12-21,A,Y
FRANCE,2204,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States', 'Uruguay']",Y,2017-12-21,Y,Y
RUSSIAN FEDERATION,2204,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States', 'Uruguay']",Y,2017-12-21,N,Y
UNITED KINGDOM,2204,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States', 'Uruguay']",Y,2017-12-21,Y,Y
UNITED STATES,2204,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States', 'Uruguay']",Y,2017-12-21,Y,Y
ITALY,2204,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States', 'Uruguay']",Y,2017-12-21,Y,Y
EGYPT,2204,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States', 'Uruguay']",Y,2017-12-21,A,Y
JAPAN,2204,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States', 'Uruguay']",Y,2017-12-21,Y,Y
SWEDEN,2204,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States', 'Uruguay']",Y,2017-12-21,Y,Y
UKRAINE,2204,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States', 'Uruguay']",Y,2017-12-21,Y,Y
SENEGAL,2204,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States', 'Uruguay']",Y,2017-12-21,Y,Y
URUGUAY,2204,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States', 'Uruguay']",Y,2017-12-21,A,Y
BOLIVIA (PLURINATIONAL STATE OF),2204,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States', 'Uruguay']",Y,2017-12-21,A,Y
ETHIOPIA,2204,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States', 'Uruguay']",Y,2017-12-21,A,Y
KAZAKHSTAN,2204,"['Ethiopia', 'France', 'Italy', 'Japan', 'Senegal', 'Sweden', 'Ukraine', 'United Kingdom', 'United States', 'Uruguay']",Y,2017-12-21,A,Y
CHINA,2205,['United States'],Y,2017-12-22,N,A
FRANCE,2205,['United States'],Y,2017-12-22,Y,Y
RUSSIAN FEDERATION,2205,['United States'],Y,2017-12-22,N,N
UNITED KINGDOM,2205,['United States'],Y,2017-12-22,Y,Y
UNITED STATES,2205,['United States'],Y,2017-12-22,N,Y
ITALY,2205,['United States'],Y,2017-12-22,Y,Y
EGYPT,2205,['United States'],Y,2017-12-22,A,Y
JAPAN,2205,['United States'],Y,2017-12-22,Y,Y
SWEDEN,2205,['United States'],Y,2017-12-22,Y,Y
UKRAINE,2205,['United States'],Y,2017-12-22,Y,Y
SENEGAL,2205,['United States'],Y,2017-12-22,A,Y
URUGUAY,2205,['United States'],Y,2017-12-22,A,Y
BOLIVIA (PLURINATIONAL STATE OF),2205,['United States'],Y,2017-12-22,A,Y
ETHIOPIA,2205,['United States'],Y,2017-12-22,A,Y
KAZAKHSTAN,2205,['United States'],Y,2017-12-22,A,Y
CHINA,2206,['United Kingdom'],Y,2018-01-30,Y,Y
FRANCE,2206,['United Kingdom'],Y,2018-01-30,Y,Y
RUSSIAN FEDERATION,2206,['United Kingdom'],Y,2018-01-30,A,Y
UNITED KINGDOM,2206,['United Kingdom'],Y,2018-01-30,Y,Y
UNITED STATES,2206,['United Kingdom'],Y,2018-01-30,Y,Y
POLAND,2206,['United Kingdom'],Y,2018-01-30,Y,Y
SWEDEN,2206,['United Kingdom'],Y,2018-01-30,Y,Y
NETHERLANDS,2206,['United Kingdom'],Y,2018-01-30,Y,Y
PERU,2206,['United Kingdom'],Y,2018-01-30,Y,Y
BOLIVIA (PLURINATIONAL STATE OF),2206,['United Kingdom'],Y,2018-01-30,Y,Y
ETHIOPIA,2206,['United Kingdom'],Y,2018-01-30,Y,Y
KAZAKHSTAN,2206,['United Kingdom'],Y,2018-01-30,Y,Y
CÔTE D'IVOIRE,2206,['United Kingdom'],Y,2018-01-30,Y,Y
EQUATORIAL GUINEA,2206,['United Kingdom'],Y,2018-01-30,Y,Y
KUWAIT,2206,['United Kingdom'],Y,2018-01-30,Y,Y
CHINA,2207,['France'],Y,2018-01-30,Y,Y
FRANCE,2207,['France'],Y,2018-01-30,Y,Y
RUSSIAN FEDERATION,2207,['France'],Y,2018-01-30,N,Y
UNITED KINGDOM,2207,['France'],Y,2018-01-30,Y,Y
UNITED STATES,2207,['France'],Y,2018-01-30,Y,Y
POLAND,2207,['France'],Y,2018-01-30,Y,Y
SWEDEN,2207,['France'],Y,2018-01-30,Y,Y
NETHERLANDS,2207,['France'],Y,2018-01-30,Y,Y
PERU,2207,['France'],Y,2018-01-30,Y,Y
BOLIVIA (PLURINATIONAL STATE OF),2207,['France'],Y,2018-01-30,Y,Y
ETHIOPIA,2207,['France'],Y,2018-01-30,Y,Y
KAZAKHSTAN,2207,['France'],Y,2018-01-30,Y,Y
CÔTE D'IVOIRE,2207,['France'],Y,2018-01-30,Y,Y
EQUATORIAL GUINEA,2207,['France'],Y,2018-01-30,Y,Y
KUWAIT,2207,['France'],Y,2018-01-30,Y,Y
CHINA,2222,['United States'],Y,2018-05-15,A,Y
FRANCE,2222,['United States'],Y,2018-05-15,Y,Y
RUSSIAN FEDERATION,2222,['United States'],Y,2018-05-15,N,Y
UNITED KINGDOM,2222,['United States'],Y,2018-05-15,Y,Y
UNITED STATES,2222,['United States'],Y,2018-05-15,Y,Y
POLAND,2222,['United States'],Y,2018-05-15,Y,Y
SWEDEN,2222,['United States'],Y,2018-05-15,Y,Y
NETHERLANDS,2222,['United States'],Y,2018-05-15,Y,Y
PERU,2222,['United States'],Y,2018-05-15,Y,Y
BOLIVIA (PLURINATIONAL STATE OF),2222,['United States'],Y,2018-05-15,A,Y
ETHIOPIA,2222,['United States'],Y,2018-05-15,Y,Y
KAZAKHSTAN,2222,['United States'],Y,2018-05-15,Y,Y
CÔTE D'IVOIRE,2222,['United States'],Y,2018-05-15,Y,Y
EQUATORIAL GUINEA,2222,['United States'],Y,2018-05-15,A,Y
KUWAIT,2222,['United States'],Y,2018-05-15,Y,Y
CHINA,2245,['United States'],Y,2018-10-11,A,Y
FRANCE,2245,['United States'],Y,2018-10-11,A,Y
RUSSIAN FEDERATION,2245,['United States'],Y,2018-10-11,N,Y
UNITED KINGDOM,2245,['United States'],Y,2018-10-11,A,Y
UNITED STATES,2245,['United States'],Y,2018-10-11,A,Y
POLAND,2245,['United States'],Y,2018-10-11,A,Y
SWEDEN,2245,['United States'],Y,2018-10-11,Y,Y
NETHERLANDS,2245,['United States'],Y,2018-10-11,Y,Y
PERU,2245,['United States'],Y,2018-10-11,A,Y
BOLIVIA (PLURINATIONAL STATE OF),2245,['United States'],Y,2018-10-11,A,Y
ETHIOPIA,2245,['United States'],Y,2018-10-11,A,Y
KAZAKHSTAN,2245,['United States'],Y,2018-10-11,A,Y
CÔTE D'IVOIRE,2245,['United States'],Y,2018-10-11,Y,Y
EQUATORIAL GUINEA,2245,['United States'],Y,2018-10-11,A,Y
KUWAIT,2245,['United States'],Y,2018-10-11,A,Y
CHINA,2256,"[""Côte d'Ivoire"", 'Equatorial Guinea', 'Ethiopia', 'France', 'Netherlands', 'Peru', 'Poland', 'Sweden', 'United Kingdom', 'United States']",Y,2018-12-13,Y,Y
FRANCE,2256,"[""Côte d'Ivoire"", 'Equatorial Guinea', 'Ethiopia', 'France', 'Netherlands', 'Peru', 'Poland', 'Sweden', 'United Kingdom', 'United States']",Y,2018-12-13,Y,Y
RUSSIAN FEDERATION,2256,"[""Côte d'Ivoire"", 'Equatorial Guinea', 'Ethiopia', 'France', 'Netherlands', 'Peru', 'Poland', 'Sweden', 'United Kingdom', 'United States']",Y,2018-12-13,N,Y
UNITED KINGDOM,2256,"[""Côte d'Ivoire"", 'Equatorial Guinea', 'Ethiopia', 'France', 'Netherlands', 'Peru', 'Poland', 'Sweden', 'United Kingdom', 'United States']",Y,2018-12-13,Y,Y
UNITED STATES,2256,"[""Côte d'Ivoire"", 'Equatorial Guinea', 'Ethiopia', 'France', 'Netherlands', 'Peru', 'Poland', 'Sweden', 'United Kingdom', 'United States']",Y,2018-12-13,Y,Y
POLAND,2256,"[""Côte d'Ivoire"", 'Equatorial Guinea', 'Ethiopia', 'France', 'Netherlands', 'Peru', 'Poland', 'Sweden', 'United Kingdom', 'United States']",Y,2018-12-13,Y,Y
SWEDEN,2256,"[""Côte d'Ivoire"", 'Equatorial Guinea', 'Ethiopia', 'France', 'Netherlands', 'Peru', 'Poland', 'Sweden', 'United Kingdom', 'United States']",Y,2018-12-13,Y,Y
NETHERLANDS,2256,"[""Côte d'Ivoire"", 'Equatorial Guinea', 'Ethiopia', 'France', 'Netherlands', 'Peru', 'Poland', 'Sweden', 'United Kingdom', 'United States']",Y,2018-12-13,Y,Y
PERU,2256,"[""Côte d'Ivoire"", 'Equatorial Guinea', 'Ethiopia', 'France', 'Netherlands', 'Peru', 'Poland', 'Sweden', 'United Kingdom', 'United States']",Y,2018-12-13,Y,Y
BOLIVIA (PLURINATIONAL STATE OF),2256,"[""Côte d'Ivoire"", 'Equatorial Guinea', 'Ethiopia', 'France', 'Netherlands', 'Peru', 'Poland', 'Sweden', 'United Kingdom', 'United States']",Y,2018-12-13,Y,Y
ETHIOPIA,2256,"[""Côte d'Ivoire"", 'Equatorial Guinea', 'Ethiopia', 'France', 'Netherlands', 'Peru', 'Poland', 'Sweden', 'United Kingdom', 'United States']",Y,2018-12-13,Y,Y
KAZAKHSTAN,2256,"[""Côte d'Ivoire"", 'Equatorial Guinea', 'Ethiopia', 'France', 'Netherlands', 'Peru', 'Poland', 'Sweden', 'United Kingdom', 'United States']",Y,2018-12-13,Y,Y
CÔTE D'IVOIRE,2256,"[""Côte d'Ivoire"", 'Equatorial Guinea', 'Ethiopia', 'France', 'Netherlands', 'Peru', 'Poland', 'Sweden', 'United Kingdom', 'United States']",Y,2018-12-13,Y,Y
